동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
운동장이 시끄러운 것을 보니 축구경기가 시작됐나봐요.	운동장이 시끄러운 것을 보니 축구 경기가 시작됐나 봐요.
사장님께서 퇴근하시기 위해서 준비하고 계십니다.	사장님께서 퇴근하시기 위해 준비하고 계십니다.
너에게 할 수 있는 것이라고는 아직 어미의 모태 속에서 새근거리는 네게 이 유업을 전하는 것 밖에 없구나.	너에게 할 수 있는 것이라고는 아직 어미의 모태 속에서 새근거리는 네게 이 유업을 전하는 것밖에 없구나.
동생이 자전거를 타고 가네.	동생이 자전거를 타고 가데.
차에 타면 안전벨트를 메야되요.	차에 타면 안전벨트를 매야 돼요.
왕밍 씨는 방학 동안에 아르바이트를 합니다.	왕밍 씨는 방학 동안에 아르바이트합니다.
작년에는 하는 일마다 망하더니 올해가 되어서야 내가 살이 내렸는지 돈이 좀 굴러들어오는 듯 하다.	작년에는 하는 일마다 망하더니 올해가 되어서야 내가 살이 내렸는지 돈이 좀 굴러 들어오는 듯하다.
음주운전으로 인한 교통 사고가 매년 증가하고 있다.	음주 운전으로 인한 교통사고가 매년 증가하고 있다.
현재 국내 주가 지수 선물 시장에서는 현물을 직접 인도하는 것이 아니라 그 시점의 가격을 기준으로 정산해주도록 되어있습니다.	현재 국내 주가 지수 선물 시장에서는 현물을 직접 인도하는 것이 아니라 그 시점의 가격을 기준으로 정산해 주도록 되어 있습니다.
가석방 대상에서 각종 시국 공안 사건과 관련해 구속된 시국 사범은 포함되지 않은 것으로 알려졌다.	가석방 대상에서 각종 시국 공안사건과 관련해 구속된 시국사범은 포함되지 않은 것으로 알려졌다.
성적이 올랐나봐? 웃고있게?	성적이 올랐나 봐? 웃고 있게?
학생들은 자리에 앉아주세요.	학생들은 자리에 앉아 주세요.
지금 수지씨가 누구와 같이 있는데요.	지금 수지 씨가 누구와 같이 있는데요.
전화는 괜찮으니 편지나 쓰세여.	전화는 괜찮으니 편지나 쓰세요.
가방에 무거운 것이 마니 들어있어여.	가방에 무거운 것이 많이 들어 있어요.
우리 할아버지는 시골에서 농사를 짓고 계세요.	우리 할아버지는 시골에서 농사를 짓고 사세요.
기분도 좋고해서 술을 많이 마셨다.	기분도 좋고 해서 술을 많이 마셨다.
줄리아씨가 늦은 것 같아여.	줄리아 씨가 늦는 것 같아요.
어이구 말도 마시오 분위기가 얼마나 험악하던지 모두들 김 씨 앞에서는 숨도 제대로 쉬지 못하고 있더라고요.	어이구 말도 마시오 분위기가 얼마나 험악하던지 모두들 김씨 앞에서는 숨도 제대로 쉬지 못하고 있더라구요.
그는 많은 돈을 벌고자 밤 늦게까지 일했다.	그는 많은 돈을 벌고자 밤늦게까지 일했다.
글을 올린 소수 몇몇은 그걸 망각하는 것 같아서 이렇게라도 제 의견을 피력시켜 부끄러운 마음이 들게하고 싶었습니다.	글을 올린 소수 몇몇은 그걸 망각하는 것 같아서 이렇게라도 제 의견을 피력시켜 부끄러운 마음이 들게 하고 싶었습니다.
비행기가 버스보다 빨라요? 버스보다 비행기가 더 빨라요?	비행기가 버스보다 빨라요? 버스보다 비행기가 빨라요?
아이스크림 한 개만 먹으면 안돼요.	아이스크림 한 개만 먹으면 안 돼요.
손님이 많이와서 준비한 음식이 적겠는데요?	손님이 많이 와서 준비한 음식이 적겠는데요?
엄마가 아이에게 만화책을 보게하지 않아요.	엄마가 아이에게 만화책을 보게 하지 않아요.
땀을 흘려 번 돈이어야 함부로 쓰지 못 한다.	땀을 흘려 번 돈이어야 함부로 쓰지 못한다.
특별한 게획은 없고 중국어 공부나 할까봐요.	특별한 계획은 없고 중국어 공부나 할까 봐요.
선생님들께서는 학생들이 특정대학에 집착하여 진로를 잘못 선택하지 않도록 입시 지도에 힘쓰신다.	선생님들께서는 학생들이 특정 대학에 집착하여 진로를 잘못 선택하지 않도록 입시 지도에 힘쓰신다.
저는 돈이 없어 가지고 어머니의 생신선물을 못 샀어요.	저는 돈이 없어 가지고 어머니의 생신 선물을 못 샀어요.
저기 의자에 앉아있는 분이 영수 씨입니다.	저기 의자에 앉아 있는 분이 영수 씨입니다.
한시에 수업이 끝나여.	한 시에 수업이 끝나요.
스테인드 글라스는 특히 고딕 건축에서 많이 쓰였는데 자연채광을 이용한 유리 벽화라고 할 수 있다.	스테인드글라스는 특히 고딕 건축에서 많이 쓰였는데 자연 채광을 이용한 유리 벽화라고 할 수 있다.
이 에어컨은 자연바람에 가깝게 만든 제품입니다.	이 에어컨은 자연 바람에 가깝게 만든 제품입니다.
눈 깜짝 할 사이에 왕밍은 종적도 없이 사라졌다.	눈 깜짝할 사이에 왕밍은 종적도 없이 사라졌다.
수지는 표준체중에서 미달이에요.	수지는 표준 체중에서 미달이에요.
이번가을에는 제주도로 떠날까봅니다.	이번 가을에는 제주도로 떠날까 봅니다.
시험에 합격하면 저녁사.	시험에 합격하면 저녁 사.
네 들어보니깐 아주 가벼웠어요.	네 들어 보니까 아주 가벼웠어요.
나를 평생 호강시켜주겠다고 장담했던 남편은 결혼한지 얼마되지 않아 세상을 뜨고 말았다.	나를 평생 호강시켜 주겠다고 장담했던 남편은 결혼한 지 얼마 되지 않아 세상을 뜨고 말았다.
농구를 할 사람은 앤디씨예요.	농구를 할 사람은 앤디 씨예요.
미도리가 비빔밥을 머거여.	미도리가 비빔밥을 먹어요.
이 대학을 다닐 것을 상상해 보세요.	이 대학에 다닐 것을 상상해 보세요.
열심히 연습하지 않은 탓으로 운동을 잘 못한다.	열심히 연습하지 않는 탓으로 운동을 잘 못 한다.
내일은 시험인데 공부 밖에 더 하겠세요.	내일이 시험인데 공부밖에 더하겠어요.
마이클은 무엇이나 다 잘 머거여.	마이클은 무엇이나 다 잘 먹어요.
영수씨는 농구를 좋아하는데 민수씨는 축구를 좋아해여.	영수 씨는 농구를 좋아하는데 민수 씨는 축구를 좋아해요.
교실에 책상하고 컴퓨터하고 책이 있어요.	교실에 책상하고 컴퓨터 하고 책이 있어요.
우리는 파업 과정에서 회사의 기물이 파괴된 데에 대해서는 누가 책임을 질 것인지 시비를 따지지 않기로 했다.	우리는 파업 과정에서 회사의 기물이 파괴된 데 대해서는 누가 책임을 질 것인지를 시비를 따지지 않기로 했다.
배가 너무 고파서 밥솥의 밥을 모두 먹어버렸다.	배가 너무 고파서 밥솥의 밥을 다 먹어 버렸다.
곧 아기가 태어날 예정이니 이름을 미리 지어두면 좋을 것 같아요.	곧 아기가 태어날 예정이니 이름을 미리 지어 두면 좋을 것 같아요.
줄리아씨가 참은 만큼 흐엉씨도 참아보세요.	줄리아 씨가 참은 만큼 흐엉 씨도 참아 보세요.
줄리아씨는 왕밍씨가 키가 큰 것이 마음에 들어여.	줄리아 씨는 왕밍 씨가 키가 큰 것이 마음에 들어요.
구 의원은 예산을 책정하는 데에 대해 환경 개선에 예산이 너무 적다고 국민들의 비난을 받았다.	구의원은 예산을 책정하는 데에 대해 환경 개선에 예산이 너무 적다고 구민들의 비난을 받았다.
사촌언니가 나에게 시어머니가 왜 그런 말을 하는지에 대해 미워죽겠다고 하소연을 늘어 놓는다.	사촌언니가 나에게 시어머니가 왜 그런 말을 하는지에 대해 미워죽겠다고 하소연을 늘어놓는다.
쑤완씨는 한국어를 잘하고자 노력할 것이다.	쑤완 씨는 한국어를 잘하고자 노력할 것이다.
그가 골프 프로 테스트에서 열번이나 떨어진 것을 안줏거리를 삼아 입에 올리는 사람은 아무도 없다.	그가 골프 프로 테스트에서 열 번이나 떨어진 것을 안줏거리를 삼아 입에 올리는 사람은 아무도 없다.
제가 저녁에 전화할래에여.	제가 저녁에 전화할래요.
이럴쭐 알았으면 밥이라도 많이 먹고 올 껄 그랬어여.	이럴 줄 알았으면 밥이라도 많이 먹고 올 걸 그랬어요.
저는 주말에 친구와 놀기 위해 오늘 숙제를 모두 할거에요.	저는 주말에 친구와 놀기 위해 오늘 숙제를 모두 할 거예요.
줄리아씨요. 흐엉씨가 아니고요.	줄리아 씨요. 흐엉 씨가 아니고요.
맑은 물 공급을 위해서 지금까지 많은 돈을 쏟아 부었다. 그런데도 우리 하천의 오염 실태는 좀처런 개선되지 않고 있다.	맑은 물 공급을 위해서 지금까지 많은 돈을 쏟아 부었다. 그런데도 우리 하천의 오염 실태는 좀처럼 개선되지 않고 있다.
예쁜 옷을 입었네요? 데이트 하러 가나봐요?	예쁜 옷을 입었네요? 데이트하러 가나 봐요?
제주도는 그림같이 아름다와요.	제주도는 그림같이 아름다워요.
인터넷 이용 시간의 증가 및 대여폭의 확대로 인해 전화모뎀을 이용한 인터넷 접속 방법은 어려워지고있다.	인터넷 이용시간의 증가 및 대역폭의 확대로 인해 전화모뎀을 이용한 인터넷 접속 방법은 어려워지고 있다.
회사 가까이로 이사를 한 후 그녀는 아침마다 겪어야했던 교통지옥에서 벗어난 것이 행복하기만 했다.	회사 가까이로 이사를 한 후 그녀는 아침마다 겪어야 했던 교통 지옥에서 벗어난 것이 행복하기만 했다.
마이클씨 어머니께 어떤 선물을 드릴까요.	마이클 씨 어머니께 어떤 선물을 드릴까요.
대학원에 합격한 것은 열심히 공부한 결과입니다.	대학원에 합격한 것은 열심히 공부한 결과이다.
그렇게 담배를 피우는 한 건강이 좋아질수는 없습니다.	그렇게 담배를 많이 피우는 한 건강이 좋아질 수는 없습니다.
김 이사는 해외출장을 가야 하자 박 비서에게 건설 현황을 이사회에서 발표하는 것을 부탁시켰다.	김이사는 해외출장을 가야 하자 박비서에게 건설 현황을 이사회에서 발표하는 것을 부탁시켰다.
수지는 공부하느라고 요즘 데이트 할 시간이 없어요.	수지는 공부하느라고 요즘 데이트할 시간이 없어요.
여인은 아이가 탄생한 데 대해 사람들에게서 훌륭한 사람이 될것이라고 많은 축복을 받았다.	여인은 아이가 탄생한 데 대해 사람들에게서 훌륭한 사람이 될 것이라고 많은 축복을 받았다.
내일이 친구 생일이여서 생일 파티를 할거에요.	내일이 친구 생일이어서 생일 파티를 할 거예요.
사진을 찍지 않을 것.	사진을 찍지 않을걸.
내가 낮잠을 자는사이에 친구가 왓다갓어요.	내가 낮잠을 자는 사이에 친구가 왔다 갔어요.
다음주가 시험이고 해서 도서관을 가려고 해요.	다음 주가 시험이고 해서 도서관에 가려고 해요.
어두운 산 속을 걸으나 무섭지 않다.	어두운 산속을 걸으나 무섭지 않다.
박물관에서 사진을 찍으면 안되요.	박물관에서 사진을 찍으면 안 돼요.
유명 연예인은 기자들에게서 열애설이 맞는지에 대해 사실을 밝혀달라고 쉴 새 없는 질문을 받았다.	유명 연예인은 기자들에게서 열애설이 맞는지에 대해 사실을 밝혀달라고 쉴새없는 질문을 받았다.
작년에 가보니 고향의 풍경이 많이 달라졌어요.	작년에 가 보니 고향의 풍경이 많이 달라졌어요.
이 조약으로 한국의 외교권은 일본에 의해 박탈당했고 외국에 있던 한국의 외교 기관은 전부 폐지됐다.	이 조약으로 한국의 외교권은 일본에 의해 박탈당했고 외국에 있던 한국의 외교기관은 전부 폐지됐다.
싸거나 비싸거나 사전은 필요하니까 꼭 사야해요.	싸거나 비싸거나 사전은 필요하니까 꼭 사야 해요.
슬프게도 유미씨의 할아버지께서 어제 돌아가셨다.	슬프게도 유미 씨의 할아버지께서 어제 돌아가셨다.
불이 환하다가 그만 꺼져버렸다.	불이 환하다가 그만 꺼졌다.
최근 미국의 고용지표가 빠른 속도로 호전되면서 외환시장에도 긍정적인 영향을 끼치고 있다.	최근 미국의 고용지표가 빠른 속도로 호전되면서 외환 시장에도 긍정적인 영향을 끼치고 있다.
장관은 노사분규 사태를 조기에 진화하기 위해서 출장 일정을 취소하고 합대관계자 회의를 소집했다.	장관은 노사분규 사태를 조기에 진화하기 위해서 출장일정을 취소하고 확대 관계자 회의를 소집했다.
내전을 겪은 후 들어선 이 나라의 정부는 아직 국제사회의 승인을 받지 못한 상태라고 했다.	내전을 겪은 후 들어선 이 나라의 정부는 아직 국제 사회의 승인을 받지 못한 상태라고 했다.
숙희는 물건들을 제자리에 정돈해놓고 저번 학교에서 받았던 상장들을 보다 더 잘 보이게끔 책상위에 진열시켰다.	숙희는 물건들을 제자리에 정돈해 놓고 저번 학교에서 받았던 상장들을 보다 더 잘 보이게끔 책상 위에 진열시켰다.
시중은행이 취급중인 예금통장을 조사한 결과 절반이상이 중요한 거래조건을 기재하지 않거나모호하게 표현하고 있는 것으로 나타났다.	시중은행이 취급 중인 예금통장을 조사한 결과 절반 이상이 중요한 거래조건을 기재하지 않거나 모호하게 표현하고 있는 것으로 나타났다.
마이클씨가 한국에 산 지도 벌써 5년이 되어가요.	마이클 씨가 한국에 산 지도 벌써 5년이 되어 가요.
한국에 살아보니 한국사람들을 더 잘 이해할 수있게 되었어요.	한국에 살아 보니 한국 사람들을 더 잘 이해할 수 있게 되었어요.
저는 한국에 축구대표 선수가 되고시퍼여.	저는 한국의 축구 대표 선수가 되고 싶어요.
왕밍씨 라디오를 틀어도 되요.	왕밍 씨 라디오를 틀어도 돼요.
우리 회사는 직원이 작업장에서 병을 얻게되면 계약된 지정병원에서 무료로 치료를 받게 한다.	우리 회사는 직원이 작업장에서 병을 얻게 되면 계약된 지정병원에서 무료로 치료를 받도록 한다.
저는 수지씨에게 들을 말이 없어여.	저는 수지 씨에게 들을 말이 없어요.
요리도 하고 해서 줄리아씨를 초대했어요.	요리도 하고 해서 줄리아 씨를 초대했어요.
동점골을 성공시킨 안정환은 한국인들이 절대 잊을 수 없는 동계올림픽 금메달 박탈 장면을 골 세레머니로 재현했다.	동점골을 성공시킨 안정환은 한국인들이 절대 잊을 수 없는 동계올림픽 금메달 박탈 장면을 골 세리머니로 재연했다.
저영화가 무섭지 않을까요? 지금 백화점에 사람이 많지 않을까요?	저 영화가 무섭지 않을까요? 지금 백화점에 사람이 많지 않을까요?
오빠가 어릴때부터 제 키가 작다고 놀려댔어요.	오빠가 어릴 때부터 제 키가 작다고 놀려 댔어요.
저는 선생님처럼 훌륭한 사람이 되고 시퍼여.	저는 선생님처럼 훌륭한 사람이 되고 싶어요.
모기업은 채권자들로부터 기업 대출금에 대해 원금과 이자를 거의 받지 못했다고 고발을 당하였다.	모 기업은 채권자들로부터 기업 대출금에 대해 원금과 이자를 거의 받지 못했다고 고발을 당하였다.
제가 지영씨한테 편지를 써드릴게여.	제가 지영 씨한테 편지를 써 드릴게요.
내가 어릴 때는 굉장히 소극적이었나봐.	내가 어릴 때는 굉장히 소극적이었나 봐.
나한테 돈 천만원이 있다고 칩시다.	나한테 돈 천만 원이 있다고 칩시다.
시험날이 가까워 오니 도서관에 사람이 많아요.	시험 날이 가까워져 오니 도서관에 사람이 많아요.
비를 피하러 빈 집에 들어갔습니다.	비를 피하러 빈집에 들어갔습니다.
여러분 모두의 관심과 격려가 이번 사업을 차질없이 마무리하는 데에 한 몫 했다는 것을 알고 있습니다.	여러분 모두의 관심과 격려가 이번 사업을 차질없이 마무리하는 데에 한몫했다는 것을 알고 있습니다.
제가 언니니까 먼저 사과해야지여.	제가 언니니까 먼저 사과해야지요.
제 아내는 늘 나에게 잔소리를 해댐니다.	제 아내는 늘 나에게 잔소리를 해 댑니다.
남편이 넥타이를 매고 양복을 입고서 회사에갓다.	남편이 넥타이를 매고 양복을 입고서 회사에 갔다.
이 책을 다음 주 까지 읽을 것.	이 책을 다음 주까지 읽을 것.
축하 인사는 네게서 들을거야.	축하 인사는 네게서 들을 거야.
어느정도 완숙기에 접어든 중소기업은 시장에서 직접 자금을 조달할 수 있도록 유도할 계획이다.	어느 정도 완숙기에 접어든 중소기업은 시장에서 직접 자금을 조달할 수 있도록 유도할 계획이다.
내년에는 올해에 비하여 책을 더 많이 읽을 거예요.	내년에는 올해에 비하여 책을 더 많이 읽을 거에요.
앤디씨의 결혼 소식을 듣게 됐어요.	앤디 씨의 결혼 소식을 듣게 됐어요.
얼굴이 하얀데 어디 아픈거 아니에여?	얼굴이 하얀데 어디 아픈 거 아니에요?
친구들이랑 재미있는 것을 하며 놀고 시퍼요.	친구들이랑 재미있는 것을 하며 놀고 싶어요.
이번 사건은 정부가 개혁주의자들의 편을 들어줄 것인지 말 것인지를 결정짓는 판가름 처가 될 것이다.	이번 사건은 정부가 개혁주의자들의 편을 들어줄 것인지 말 것인지 를 결정짓는 판가름터가 될 것이다.
제주도에 가본적이 있어여.	제주도에 가 본 적이 있어요.
반대편에서 역사로 진입하던 전동차가 단전으로 인해 움직이지 못하는 동안 여기에도 불이 올라붙었다.	반대편에서 역사로 진입하던 전동차가 단전으로 인해 움직이지 못하는 동안 여기에도 불이 옮아 붙었다.
이렇게 계속 눈이 내리는 한은 기차가 출발하지 못 할 거예요.	이렇게 계속 눈이 내리는 한은 기차가 출발하지 못할 거예요.
내일 학교에서 소풍을 가면 많이 걸어야겠세여.	내일 학교에서 소풍을 가면 많이 걸어야겠어요.
배가 고파서 밥을 먹고 시퍼여.	배가 고파서 밥을 먹고 싶어요.
큰 것은 큰 것대로 따로 모아주세여.	큰 것은 큰 것대로 따로 모아 주세요.
흐엉씨는 고기만 먹어요.	흐엉 씨는 고기만 먹어요.
저는 날씨가 추운것을 제일 싫어해요.	저는 날씨가 추운 것을 제일 싫어해요.
박사장이 김씨와 박자를 맞춰서 슬금슬금 도망갈 궁리만 하는 데도 그들은 전혀 눈치를 채지 못했다.	박사장이 김씨와 박자를 맞춰서 슬금슬금 도망갈 궁리만 하는데도 그들은 전혀 눈치를 채지 못했다.
돈이야 나중에 벌어도 되지만 공부는 지금 안하면 안돼요.	돈이야 나중에 벌어도 되지만 공부는 지금 안 하면 안 돼요.
색깔이 더 진한것이 잘 어울려요.	색깔이 더 진한 것이 잘 어울려요.
비가 이렇게 오는데 축구를 할 수 없어요.	비가 이렇게 계속 오는 한 축구를 할 수 없어요.
동생이 대학에 입학한다면 나는 동생에게 컴퓨터를 사 줄거예요.	동생이 대학에 입학한다면 나는 동생에게 컴퓨터를 사 줄 거예요.
이제 드라마를 안보기로 했어요.	이제 드라마를 안 보기로 했어요.
텔레비전을 봄으로 시간을 보내여.	텔레비전을 봄으로 시간을 보내요.
버스가 없으면 걸을 수 밖에 없어요.	버스가 없으면 걸을 수밖에 없어요.
더워서 머리를 짤게했어요.	더워서 머리를 짧게 했어요.
아이를 혼내야 하는데 너무 귀여워서 그만 웃어버렸다.	아이를 혼내야 하는데 너무 귀여워서 그만 웃어 버렸다.
하루에 몇번 식사해요.	하루에 몇 번 식사해요.
흐엉씨는 장학금을 받기 위해 도서관에서 매일 공부하고 있어요.	흐엉 씨는 장학금을 받기 위해 도서관에서 매일 공부하고 있어요.
오늘 수업이 없음을 학생들에게 알려주세요.	오늘 수업이 없음을 학생들에게 알려 주세요.
지금 가진 돈이 만 원 뿐인데 부산까지 갈 수 있을까요.	지금 가진 돈이 만원뿐인데 부산까지 갈 수 있을까요.
목걸이랑 반지를 샀어여.	목걸이랑 반지를 샀어요.
민수가 걷으로는 좋게 도와주는 척 하지만 속으로는 이번 일로 자신도 한 몫 챙겨보려는 속셈이 밑바닥에 깔린 거야.	민수가 겉으로는 좋게 도와주는 척하지만 속으로는 이번 일로 자신도 한몫 챙겨 보려는 속셈이 밑바닥에 깔린 거야.
커피를 마시고 있어여.	커피를 마시고 있어요.
기차가 이미 도착해있습니다.	기차가 이미 도착해 있습니다.
체신부는 편지 봉투를 어떻게 결정할 것인지에 대해 가로 20 cm 세로 10 cm로 하는 것으로 규격을 통일하였다.	체신부는 편지 봉투를 어떻게 결정할 것인지에 대해 가로 20cm 세로 10cm로 하는 것으로 규격을 통일하였다.
민수씨는 어머니를 도우려고 심부름을 했어여.	민수 씨는 어머니를 도우려고 심부름을 했어요.
언제 언니랑 한강에서 운동했어요.	어제 언니랑 한강에서 운동했어요.
피부타입에 따른 화장품 선택으로 피부를 잘 가꾸어 주어야 한다.	피부 타입에 따른 화장품 선택으로 피부를 잘 가꾸어 주어야 한다.
재미있으니까 한번 보세여.	재미있으니까 한번 보세요.
중국의 자유경제 체제 도입에 대해 전문가들 사이에서는 이제 계획 경제 체제가 붕괴될 것이라고 분석이 조심스럽게 나오고있다.	중국의 자유 경제 체제 도입에 대해 전문가들 사이에서는 이제 계획 경제 체제가 붕괴될 것이라고 분석이 조심스럽게 나오고 있다.
내일 회의실은 2층으로 예약해 놓았으니까 준비해주세여.	내일 회의실은 2층으로 예약해 놓았으니까 준비해 주세요.
이성 친구가 생기면 상대방의 부모님께 소개해 인정을 받은 뒤 공개적으로 사귀어도 좋다고 말한다.	이성친구가 생기면 상대방의 부모님께 소개해 인정을 받은 뒤 공개적으로 사귀어도 좋다고 말한다.
한국 영화를 보고 시펐습니다.	한국 영화를 보고 싶었습니다.
언론보도를 힘으로 저지하기 위한 종교기관의 집단 행동은 우리 사회에서 연례행사처럼 일어나고 있다.	언론보도를 힘으로 저지하기 위한 종교기관의 집단행동은 우리 사회에서 연례행사처럼 일어나고 있다.
그는 요즘 탁구치는 데에 재미를 붙여 점심시간이 한참 지나도 자리를 비우고 있을 때가 많다.	그는 요즘 탁구 치는 데 재미를 붙여 점심 시간이 한참 지나도 자리를 비우고 있을 때가 많다.
술 취한 남자는 주위의 여자들과 엉덩이가 얼마나 섹시한지에 대해 빵빵하다고 언사를 주고받았다.	술취한 남자는 주위의 여자들과 엉덩이가 얼마나 섹시한지에 대해 빵빵하다고 음사를 주고받았다.
이번 시험에 반드시 합격해야? 돼요.	이번 시험에 반드시 합격해야만 돼요.
내 방 크기가 여기만 같아도 훨씬 넓고 좋을거 같아요.	내 방 크기가 여기만 같아도 훨씬 넓고 좋을 것 같아요.
비가 왔으나 우리학교는 운동회를 했다.	비가 왔으나 우리 학교는 운동회를 했다.
흐엉씨도 이 책을 읽고 나면 생각이 달라질 거예요.	흐엉 씨도 이 책을 읽고 나면 생각이 달라질 거예요.
오늘 저녁에 이 책을 일거야지.	오늘 저녁에 이 책을 읽어야지.
왕밍씨는 김치를 만들지 못해요.	왕밍 씨는 김치를 만들지 못해요.
의자 위에 있는 것이 제 가방이예요.	의자 위에 있는 것이 제 가방이에요.
현금이 없어서 카드로 살 수 밖에 없어요.	현금이 없어서 카드로 살 수밖에 없어요.
이렇게 빨리 헤어지게되서 아쉬울 따름입니다.	이렇게 빨리 헤어지게 돼서 아쉬울 따름입니다.
그 할아버지는 항상 도외지에 나가 있는 아들들을 불러들여 가을을 시키는 것을 원칙으로 하고 있다.	그 할아버지는 항상 도회지에 나가 있는 아들들을 불러들여 가을일시키는 것을 원칙으로 하고 있다.
그때 그에게서 받아놓았떤 명함이 생각났고 주책없이 저의 손은 그에게 전화를 걸고 있었습니다.	그때 그에게서 받아 놓았던 명함이 생각났고 주책없이 저의 손은 그에게 전화를 걸고 있었습니다.
어제 왜 집에 일찍 갔느냐 하면 머리가 마니 아팟거든.	어제 왜 집에 일찍 갔느냐 하면 머리가 많이 아팠거든.
이 가방은 비싸지 아나요.	이 가방은 비싸지 않아요.
선생님께서 교실앞에있는 의자에 앉으십니다.	선생님께서 교실 앞에 있는 의자에 앉으십니다.
나는 영화감독이 돼서 슬프고도 아름다운 영화를 만들고 싶다.	나는 영화감독이 돼서 슬프고도 아름다운 사랑 이야기를 만들고 싶다.
결혼에다가 이사까지해서 돈이 많이 들어요.	결혼에다가 이사까지 해서 돈이 많이 들어요.
이제 컴퓨터 께임을 안 해야지.	이제 컴퓨터 게임을 안 해야지.
그는아침에 조깅하기를 좋아한다.	그는 아침에 조깅하기를 좋아한다.
책이나 펜을 선물하세여.	책이나 펜을 선물하세요.
이 책이 디자인이 예쁨니다.	이 책이 디자인이 예쁩니다.
어머니는 아주 엄하신 반면에 아버지는 자상하실거에요.	어머니는 아주 엄하신 반면에 아버지는 자상하실 거예요.
자전거가 너무 비싸놓으니 아무도 사지않는다.	자전거가 너무 비싸 놓으니 아무도 사지 않는다.
우리 중대는 이번 작전에서 적군의 전력을 어떻게 무력화 할 지에 대해 적군에게 야간에 기습하는 전술을 폈다.	우리 중대는 이번 작전에서 적군의 전력을 어떻게 무력화할지에 대해 적군에게 야간에 기습하는 전술을 폈다.
단 세달이면 투자금의 두 배를 벌게 해준다는 데에 현혹되어 많은 이들이 그의 사기에 말려들었다고 한다.	단 세 달이면 투자금의 두 배를 벌게 해 준다는 데에 현혹되어 많은 이들이 그의 사기에 말려들었다고 한다.
지금 발표하는 사람이 미도리씨에여.	지금 발표하는 사람이 미도리 씨예요.
수지씨가 라디오를 들을까여.	수지 씨가 라디오를 들을까요.
이런 상황에서 우리가 할 수 있는건 기다리는 것 뿐이에요.	이런 상황에서 우리가 할 수 있는 건 기다리는 것뿐이에요.
아번 시험에 반드시 합격해야만 해요.	이번 시험에 반드시 합격해야만 돼요.
한국어시험에 합격하려면 더 열심히 공부해야됐어요.	한국어 시험에 합격하려면 더 열심히 공부해야 됐어요.
경제인류학은 인류학의 다양한 이론과 방법론을 바탕으로 인간 사회의 경제 행위를 이해하는 데 목적을 두고 있다.	경제인류학은 인류학의 다양한 이론과 방법론을 바탕으로 인간사회의 경제행위를 이해하는 데 목적을 두고 있다.
내일 영화를 보든지 드라이브를 가든지 하자.	내일 영화를 보든지 드라이브하러 가든지 하자.
아니요. 오늘은 개한테 물만 줬어여.	아니요. 오늘은 개한테 물만 줬어요.
귀에 못이박히도록 듣는다.	귀에 못이 박이도록 듣는다.
수지는 친구한테 실망 했습니다.	수지는 친구한테 실망했습니다.
나는 그 사람이 거짓되다고 생각하지 않았지만 다른사람은 다들 그 사람을 거짓말 쟁이로 몰았다.	나는 그 사람이 거짓되다고 생각하지 않았지만 다른 사람은 다들 그 사람을 거짓말쟁이로 몰았다.
100점은 커녕 70점도 못받아서 진급을 못하게 되었어여.	100점은커녕 70점도 못 받아서 진급을 못 하게 되었어요.
청년은 아이에게 선생님이 심부름을 시킨 데 대해 그 일을 하지 않아도 된다고 개교를 부렸다.	청년은 아이에게 선생님이 심부름을 시킨 데 대해 그 일을 하지 않아도 된다고 계교를 부렸다.
얼굴도 안 보고 지금 몇 년째 살지만 엄마에게 들리는 소식에 대하면 새로 살림 차린 남자와 더욱 비참하게 산다고 하더군요.	얼굴도 안보고 지금 몇 년째 살지만 엄마에게 들리는 소리에 의하면 새로 살림차린 남자랑 더 비참하게 산다고 하더군요.
오늘 함께 술 한잔 하지요.	오늘 함께 술 한잔하지요.
출발한지 10 시간이나 지나서 부산에 도착했습니다.	출발한 지 10시간이나 지나서 부산에 도착했습니다.
앤디씨는 오후에 공부를해요.	앤디 씨는 오후에 공부해요.
이 이야기는 동생한테서 들은 것 입니다.	이 이야기는 동생한테서 들은 것입니다.
수업 시간에 조용히 하지 않으면 안돼요.	수업 시간에 조용히 하지 않으면 안 돼요.
이 과일은 반쯤 익어야 마시꾸나.	이 과일은 반쯤 익어야 맛있구나.
수지는 친구를 만난다고 커피? 에 갔어요.	수지는 친구를 만난다고 커피숍에 갔어요.
아이의 얼굴을 빨감으로 열이 나는지 체온을 재고 왔다.	아이의 얼굴이 빨가므로 열이 나는지 체온을 재 보았다.
사람이 너무 많아서 타려야 탈수가 없었어요.	사람이 너무 많아서 타려야 탈 수가 없었어요.
왕밍씨가 고양이에게 생선을 줘요.	왕밍 씨가 고양이에게 생선을 줘요.
신입사원들은 주부들에게 새 가전제품이 출시한 것에 대해 좋은 물건이라고 홍보에 나섰다.	신입 사원들은 주부들에게 새 가전 제품이 출시한 것에 대해 좋은 물건이라고 홍보에 나섰다.
뻐스를 타고 있는 동안 다 외웠써요.	버스를 타고 있는 동안 다 외웠어요.
왕밍씨가 감기로 인하여 학교에 못왔어요.	왕명 씨가 감기로 인하여 학교에 못 왔어요.
손을 씻으러 화장실에 가여.	손을 씻으러 화장실에 가요.
동생이 대학에 입학한다면 동생에게 컴퓨터를 사줘라.	동생이 대학에 입학한다면 네가 동생에게 컴퓨터를 사 줘라.
